date,time,close,high,low,open
26-11-2019,09:45:00,12119.4,12120.1,12112,12114.15
26-11-2019,09:55:00,12115.5,12122.2,12112.65,12119.35
26-11-2019,10:05:00,12098,12123.65,12086.65,12115.65
26-11-2019,10:15:00,12096.7,12098.35,12082,12097.55
26-11-2019,10:25:00,12089.2,12096.8,12086.15,12096.4
26-11-2019,10:35:00,12070.45,12089.25,12063.1,12089.25
26-11-2019,10:45:00,12089.7,12089.85,12069.55,12070.25
26-11-2019,10:55:00,12073.35,12090.15,12069.2,12089.75
26-11-2019,11:05:00,12079.2,12082.1,12071.45,12073.65
26-11-2019,11:15:00,12081,12084.75,12077.55,12079.25
26-11-2019,11:25:00,12080.55,12083.9,12068.65,12080.9
26-11-2019,11:35:00,12077.2,12082.65,12075.45,12080.4
26-11-2019,11:45:00,12075.3,12079.4,12070.5,12077.7
26-11-2019,11:55:00,12074.35,12077.15,12070.75,12075.35
26-11-2019,12:05:00,12076.65,12082.05,12073.6,12074.3
26-11-2019,12:15:00,12085.1,12089.95,12073.2,12076.9
26-11-2019,12:25:00,12089.75,12090.4,12082.75,12085.7
26-11-2019,12:35:00,12096.65,12100.95,12089.8,12090.65
26-11-2019,12:45:00,12101.65,12107.05,12096.75,12097.4
26-11-2019,12:55:00,12097,12104.85,12093.7,12101.3
26-11-2019,13:05:00,12099.2,12103.1,12096.1,12096.85
26-11-2019,13:15:00,12082,12100,12081.25,12099.35
26-11-2019,13:25:00,12091.35,12091.6,12078.25,12081.9
26-11-2019,13:35:00,12093.3,12095.9,12084.65,12092.15
26-11-2019,13:45:00,12076.8,12093.05,12067.05,12093.05
26-11-2019,13:55:00,12080.7,12084.95,12076.55,12076.6
26-11-2019,14:05:00,12069.3,12082.3,12068.5,12080.9
26-11-2019,14:15:00,12058.35,12076.8,12057.4,12068.8
26-11-2019,14:25:00,12043.25,12064.4,12041.4,12058.2
26-11-2019,14:35:00,12029.4,12042.65,12006.8,12042.65
26-11-2019,14:45:00,12048.65,12049.05,12023.25,12029.25
26-11-2019,14:55:00,12040.85,12066.15,12040.8,12048.75
26-11-2019,15:05:00,12032.9,12041.3,12025.45,12040.55
26-11-2019,15:15:00,12039.55,12042.35,12026.75,12033
26-11-2019,15:25:00,12046.8,12058.95,12032.05,12039.8
27-11-2019,09:15:00,12090.85,12107.6,12067.05,12068.5
27-11-2019,09:25:00,12107.3,12108.1,12091.25,12091.25
27-11-2019,09:35:00,12092.95,12107.25,12082.35,12106.9
27-11-2019,09:45:00,12082.3,12097.55,12080.95,12092.9
27-11-2019,09:55:00,12089.85,12090.75,12077.45,12082.1
27-11-2019,10:05:00,12099.25,12100.75,12086.7,12089.8
27-11-2019,10:15:00,12100.3,12106.25,12095.65,12099.1
27-11-2019,10:25:00,12097.65,12101.7,12091.55,12100.5
27-11-2019,10:35:00,12094.3,12100.45,12088.95,12097.45
27-11-2019,10:45:00,12086,12096.3,12083.2,12094.4
27-11-2019,10:55:00,12080.95,12086.9,12075.65,12085.85
27-11-2019,11:05:00,12078.45,12085.25,12073.45,12080.8
27-11-2019,11:15:00,12074.9,12083.5,12074.45,12078
27-11-2019,11:25:00,12080.5,12080.7,12071.65,12074.45
27-11-2019,11:35:00,12080.8,12084.65,12077.9,12081
